Scenario,Subject,Method,Model,Features,Accuracy,F1,TrainTime_s,BaselineAcc
Cross-Subject,Subject9,anova,KNN,30,0.5027870680044593,0.503061370343618,0.12162208557128906,0.5254552211073951
Subject-Dependent,Subject9,anova,RF,34,0.552833078101072,0.5540109844957782,3.895388603210449,0.5513016845329249
Cross-Subject,Subject9,anova,RF,30,0.4975845410628019,0.48584691611311914,16.353323936462402,0.5254552211073951
Subject-Dependent,Subject9,anova,DT,34,0.5313935681470138,0.5326173427078946,0.2269737720489502,0.5513016845329249
Cross-Subject,Subject9,anova,DT,30,0.5050167224080268,0.5052742181891317,8.465253591537476,0.5254552211073951
Subject-Dependent,Subject9,anova,GBoosting,34,0.5222052067381318,0.5231582846839511,2.943472146987915,0.5513016845329249
Cross-Subject,Subject9,anova,GBoosting,30,0.5061315496098104,0.4814448885427438,93.92362260818481,0.5254552211073951
Subject-Dependent,Subject9,fi,SVM,27,0.5819295558958653,0.5829763694936249,0.19464421272277832,0.5513016845329249
Cross-Subject,Subject9,fi,SVM,23,0.4674842066146414,0.34734883023536445,17.39967155456543,0.5254552211073951
Subject-Dependent,Subject9,fi,KNN,27,0.5497702909647779,0.5509002962148004,0.0037322044372558594,0.5513016845329249
Cross-Subject,Subject9,fi,KNN,23,0.5135637309550353,0.5128170446697115,0.05512070655822754,0.5254552211073951
Subject-Dependent,Subject9,fi,RF,27,0.666156202143951,0.6629494422460116,2.271165132522583,0.5513016845329249
Cross-Subject,Subject9,fi,RF,23,0.5354886659234486,0.4726835336124184,10.408725261688232,0.5254552211073951
Subject-Dependent,Subject9,fi,DT,27,0.55895865237366,0.559450867398628,0.11240744590759277,0.5513016845329249
Cross-Subject,Subject9,fi,DT,23,0.5105908584169454,0.5061478341610411,4.9052886962890625,0.5254552211073951
Subject-Dependent,Subject9,fi,GBoosting,27,0.6814701378254211,0.6806097958356868,2.1855475902557373,0.5513016845329249
Cross-Subject,Subject9,fi,GBoosting,23,0.5380899293942772,0.430155261725684,63.03996777534485,0.5254552211073951
Subject-Dependent,Subject9,lcc,SVM,39,0.5329249617151608,0.5339883648044956,0.23789334297180176,0.5513016845329249
Cross-Subject,Subject9,lcc,SVM,21,0.45968041620215533,0.4307607447258264,16.06371784210205,0.5254552211073951
Subject-Dependent,Subject9,lcc,KNN,39,0.5482388973966309,0.5489877558052175,0.004526615142822266,0.5513016845329249
Cross-Subject,Subject9,lcc,KNN,21,0.5165366034931252,0.5166865746292876,0.0338139533996582,0.5254552211073951
Subject-Dependent,Subject9,lcc,RF,39,0.5206738131699847,0.521508278638255,0.39437103271484375,0.5513016845329249
Cross-Subject,Subject9,lcc,RF,21,0.5258268301746563,0.5158589963358547,11.701148271560669,0.5254552211073951
Subject-Dependent,Subject9,lcc,DT,39,0.5191424196018377,0.5202641607716135,0.8658082485198975,0.5513016845329249
Cross-Subject,Subject9,lcc,DT,21,0.5128205128205128,0.5121723046441936,13.5440673828125,0.5254552211073951
Subject-Dependent,Subject9,lcc,GBoosting,39,0.5405819295558959,0.5417148724893229,3.9341976642608643,0.5513016845329249
Cross-Subject,Subject9,lcc,GBoosting,21,0.5180230397621702,0.4932226389522247,79.90850734710693,0.5254552211073951
Subject-Dependent,Subject9,pca,SVM,44,0.6355283307810107,0.636195385156564,0.32695531845092773,0.5513016845329249
Cross-Subject,Subject9,pca,SVM,35,0.4752879970271275,0.46739425661729217,22.290315628051758,0.5254552211073951
Subject-Dependent,Subject9,pca,KNN,44,0.5298621745788668,0.5241368906333229,0.004399538040161133,0.5513016845329249
Cross-Subject,Subject9,pca,KNN,35,0.5050167224080268,0.5045306741797299,0.048822641372680664,0.5254552211073951
Subject-Dependent,Subject9,pca,RF,44,0.5712098009188361,0.5722859963950481,0.7884762287139893,0.5513016845329249
Cross-Subject,Subject9,pca,RF,35,0.5076179858788554,0.4959363806404216,22.02162528038025,0.5254552211073951
Subject-Dependent,Subject9,pca,DT,44,0.5451761102603369,0.5463701068234847,0.3253662586212158,0.5513016845329249
Cross-Subject,Subject9,pca,DT,35,0.4990709773318469,0.4990709773318469,19.046773195266724,0.5254552211073951
Subject-Dependent,Subject9,pca,GBoosting,44,0.5895865237366003,0.5905172495612409,4.951594591140747,0.5513016845329249
Cross-Subject,Subject9,pca,GBoosting,35,0.5169082125603864,0.4931979070954308,117.00791573524475,0.5254552211073951
